PROCESSO,OSC,VALOR,PROJETO,PARLAMENTAR,cnpj,
04008-00000117/2025-12,INSTIUTO SARANDO AS NAÇÕES,"71.000,00",CERRADO DIGITAL,Thiago Manzoni,,
04008-00000132/2025-61,INSTITUTO FORMANDO CAMPEÕES PARA A VIDA,"19.990.000,00",PROGRAMADORES DE FUTURO 2025,Thiago Manzoni,,
04008-00000110/2025-09,INSTITUTO FUTURO CERTO,"350.000,00",SOLUÇÕES DO FUTURO,pastor daniel de castro,55.152.402/0001-013,
04008-00000117/2025-12,INSTIUTO SARANDO AS NAÇÕES,"710.000,00",CERRADO DIGITAL,Thiago Manzoni,33.384.478/0001-11​​,
04008-00000112/2025-90,ASSOCIAÇÃO DAS EMPRESAS FOMENTADORAS DO BEM ESTAR - AFBE,"550.000,00",CIR - CENTRO DE INTEGRAÇÃO TECNOLÓGICA,eduardo pedrosa,32.854.460/0001-73,
04008-00000130/2025-71,"ANJOGAMES ASSOCIAÇÃO NACIONAL DE JOGOS, CAMPEONATOS, EQUIPE E JOGADORES ELETRÔNICOS","500.000,00",RENOVATECH,joaquin roriz neto,20.801.244/0001-80,
04008-00000131/2025-16,IBRANOVA INSTITUTO BRASILEIRO DE INOVAÇÃO CULTURAL,"500.000,00",BRASÍLIA GEEK FOLIA,joaquin roriz neto,00.720.524/0001-57,LIBERADO
04008-00000122/2025-25,INSTITUTO DE CIDADANIA E DESENVOLVIMENTO SOCIAL,"700.000,00",MOCHILA FINANCEIRA,eduardo pedrosa,04.352.474/0001-53​​​​,
04008-00000139/2025-82,ASSOCIAÇÃO DAS EMPRESAS FOMENTADORAS DO BEM ESTAR - AEFBE,"500.000,00",PLANETÁRIO ITINERANTE,eduardo pedrosa,32.854.460/0001-73,
04008-00000111/2025-45,INSTITUTO ORIENS,"900.000,00",CERRADOTEC SOBRADINHO,eduardo pedrosa,17.774.409/0001-68,
04008-00000203/2025-25,BRASIL STARTUPS,"1.000.000,00",BRASIL STARTUPS,Thiago Manzoni,17.236.339/0001-94,
04008-00000207/2025-11,INSTITUTO FUTURO CERTO - I.F.C,"250.000,00",robotize,pastor daniel de castro,55.152.402/0001-01,
